Clique0	arCOG00470	arCOG01228	arCOG04176
Clique1	arCOG04288	arCOG04064
Clique2	arCOG04070	arCOG04288
Clique3	arCOG01920	arCOG01122
Clique4	arCOG04169	arCOG01563
Clique5	arCOG01920	arCOG04176
Clique6	arCOG04302	arCOG04067
Clique7	arCOG01559	arCOG04070
Clique8	arCOG01559	arCOG04071
Clique9	arCOG00470	arCOG01923
Clique10	arCOG04071	arCOG04091
Clique11	arCOG01741	arCOG01719
Clique12	arCOG01219	arCOG04098
Clique13	arCOG04187	arCOG01563
Clique14	arCOG04187	arCOG01923
Clique15	arCOG04258	arCOG04187
Clique16	arCOG00675	arCOG04107
Clique17	arCOG04281	arCOG04064
Clique18	arCOG04281	arCOG04130
Clique19	arCOG00470	arCOG00358
Clique20	arCOG01559	arCOG01180
Clique21	arCOG04239	arCOG04087
Clique22	arCOG00985	arCOG00780
Clique23	arCOG01228	arCOG01358
Clique24	arCOG01016	arCOG01228
Clique25	arCOG04097	arCOG01228
Clique26	arCOG04071	arCOG01228
Clique27	arCOG01228	arCOG04186
Clique28	arCOG01183	arCOG01228
Clique29	arCOG04245	arCOG04087
Clique30	arCOG00470	arCOG04249
Clique31	arCOG04473
Clique32	arCOG01038
Clique33	arCOG00081
Clique34	arCOG01722
Clique35	arCOG04129
Clique36	arCOG04077
Clique37	arCOG00412
Clique38	arCOG04072
Clique39	arCOG04161
Clique40	arCOG04372
Clique41	arCOG04277
Clique42	arCOG01001
Clique43	arCOG00487
Clique44	arCOG04228
Clique45	arCOG01561
Clique46	arCOG01560
Clique47	arCOG04209
Clique48	arCOG04184
Clique49	arCOG01751
Clique50	arCOG04223
Clique51	arCOG00406
Clique52	arCOG00035
Clique53	arCOG00402
Clique54	arCOG04112
Clique55	arCOG01950
Clique56	arCOG00078
Clique57	arCOG04179
Clique58	arCOG00410
Clique59	arCOG01015
Clique60	arCOG01988
Clique61	arCOG04090
Clique62	arCOG04092
Clique63	arCOG04093
Clique64	arCOG04094
Clique65	arCOG04099
Clique66	arCOG04108
Clique67	arCOG04256
Clique68	arCOG04254
Clique69	arCOG04255
Clique70	arCOG04185
Clique71	arCOG04182
Clique72	arCOG00869
Clique73	arCOG00868
Clique74	arCOG04106
Clique75	arCOG00029
Clique76	arCOG00865
Clique77	arCOG00781
Clique78	arCOG04289
Clique79	arCOG04086
Clique80	arCOG00980
Clique81	arCOG04111
Clique82	arCOG04208
Clique83	arCOG04113
Clique84	arCOG04150
Clique85	arCOG04154
Clique86	arCOG04089
Clique87	arCOG04240
Clique88	arCOG04243
Clique89	arCOG04244
