Clique0	arCOG04288	arCOG04064
Clique1	arCOG04169	arCOG01563
Clique2	arCOG01559	arCOG04071
Clique3	arCOG00470	arCOG01923
Clique4	arCOG00470	arCOG04176
Clique5	arCOG00675	arCOG04107
Clique6	arCOG00470	arCOG00358
Clique7	arCOG01559	arCOG01180
Clique8	arCOG00470	arCOG01228
Clique9	arCOG00470	arCOG04249
Clique10	arCOG04473
Clique11	arCOG01038
Clique12	arCOG00081
Clique13	arCOG01722
Clique14	arCOG04129
Clique15	arCOG04077
Clique16	arCOG00412
Clique17	arCOG01920
Clique18	arCOG04072
Clique19	arCOG04070
Clique20	arCOG04161
Clique21	arCOG04372
Clique22	arCOG04239
Clique23	arCOG04277
Clique24	arCOG01122
Clique25	arCOG00780
Clique26	arCOG01001
Clique27	arCOG00487
Clique28	arCOG01719
Clique29	arCOG04228
Clique30	arCOG01561
Clique31	arCOG01560
Clique32	arCOG04209
Clique33	arCOG04184
Clique34	arCOG01751
Clique35	arCOG04130
Clique36	arCOG04223
Clique37	arCOG00406
Clique38	arCOG04067
Clique39	arCOG00035
Clique40	arCOG00402
Clique41	arCOG04112
Clique42	arCOG01950
Clique43	arCOG04302
Clique44	arCOG00078
Clique45	arCOG04179
Clique46	arCOG00410
Clique47	arCOG01358
Clique48	arCOG01016
Clique49	arCOG01015
Clique50	arCOG01219
Clique51	arCOG01988
Clique52	arCOG04090
Clique53	arCOG04091
Clique54	arCOG04092
Clique55	arCOG04093
Clique56	arCOG04094
Clique57	arCOG01741
Clique58	arCOG04097
Clique59	arCOG04098
Clique60	arCOG04099
Clique61	arCOG04108
Clique62	arCOG04256
Clique63	arCOG04254
Clique64	arCOG04255
Clique65	arCOG04186
Clique66	arCOG04187
Clique67	arCOG04258
Clique68	arCOG04185
Clique69	arCOG04182
Clique70	arCOG00869
Clique71	arCOG00868
Clique72	arCOG04106
Clique73	arCOG00029
Clique74	arCOG00865
Clique75	arCOG00781
Clique76	arCOG04281
Clique77	arCOG04289
Clique78	arCOG01183
Clique79	arCOG04087
Clique80	arCOG04086
Clique81	arCOG00980
Clique82	arCOG04111
Clique83	arCOG04208
Clique84	arCOG04113
Clique85	arCOG00985
Clique86	arCOG04150
Clique87	arCOG04154
Clique88	arCOG04089
Clique89	arCOG04240
Clique90	arCOG04243
Clique91	arCOG04245
Clique92	arCOG04244
