arCOG01001	0	36	42	41	36	34.5	34.5	41	37	34.5	35	39	36	33	40.5	37	31.5	36.5	36.5	36	38	30.5	32.5	35	33.5	37	41.5	34	33.5	38	40.5	39	34	33	39	35.5	31.5	41.5	36	37.5	35	37.5	36.5	38.5	29	34.5	40.5	33.5	35	36	32.5	32	39	40	36	34	39	36	35.5	41	33.5	36	36.5	38	34	42	37.5	40.5	37.5	37	43.5	37	37.5	34.5	32	36.5	41.5	40.5	36	32.5	34.5	33	34	36.5	38	36.5	32.5	33	37.5	32.5	39.5	32	30.5	39	37	35.5	37	37.5
arCOG00781	36	0	35.5	34.5	30	28.5	28.5	35	31	28.5	29	33	30	27	34.5	31	25.5	30.5	30.5	30.5	32	24.5	26.5	29	27.5	31	35.5	28	27.5	32	34.5	33	28	27	33	29.5	25.5	35.5	30	31	29	31.5	30.5	32.5	23	28.5	34.5	28	29	30	26.5	26	32.5	34	30	28.5	33	30	29.5	35	27.5	30.5	30	32	28	35.5	31.5	34.5	31.5	31	37.5	31	31.5	28.5	26	30.5	35.5	34.5	30	26.5	28.5	27	28	30.5	32	30.5	26.5	27	31	26.5	33.5	26	24.5	33	31.5	29.5	31	31.5
arCOG01559	42	35.5	0	40	35.5	34.5	35	40	36.5	34	34.5	38.5	35.5	32.5	40	36	31	36	36	36	38	30	32	34.5	33	36	41	33.5	33	37.5	40	38	33.5	32.5	37.5	35	31	41.5	35.5	36.5	34.5	37	36	38	28.5	34	40	33.5	34.5	35.5	32	31.5	38	39.5	35.5	34	38.5	35.5	34.5	40	32	36	35	38	33	41	37	39.5	37.5	36.5	42.5	36.5	37	34	31.5	35.5	41	40	35.5	32.5	34	32.5	33	36	37.5	35.5	32	32.5	36.5	32	39	31	30	38.5	37	35.5	36	37
arCOG00865	41	34.5	40	0	34.5	33.5	33	39.5	35	33	33.5	37.5	34.5	31.5	38.5	36	30	35	35	34.5	36	29	31	33.5	32	36	40	33	32	36.5	38.5	38	33	32	38	34	30	40	34.5	36	33.5	36	35	37.5	27.5	33	39	31.5	33	34.5	31	30.5	36.5	38	33.5	33	37.5	34.5	34.5	40	31.5	34.5	34.5	36.5	32	39.5	36	39	36	35.5	42.5	35.5	35.5	33	31	35	40.5	39	34.5	31	33	31	33	35	37	34.5	31	31.5	35.5	31	38	30	29	37.5	35.5	34.5	35.5	35.5
arCOG04113	36	30	35.5	34.5	0	28.5	29	35	31	28.5	29	33.5	30	27	34.5	31	25.5	30.5	30.5	30.5	32	24.5	26.5	29	27.5	31	35.5	28	27.5	32	34.5	33	28	27	33	29.5	25.5	36	30	31	29	31.5	30.5	32.5	23	28.5	34.5	28	29	30	26.5	26	32.5	34	30	29	33	30	29.5	35	28	30.5	30	32	28	35.5	31.5	34.5	31.5	31	37.5	31	31.5	28.5	26	30.5	35.5	34.5	30	26.5	28.5	27	28	30.5	32	30.5	26.5	27	31	26.5	33.5	26	24.5	33	32	29.5	31	31.5
arCOG04254	34.5	28.5	34.5	33.5	28.5	0	27.5	33.5	29.5	27	28	31.5	28.5	25.5	33	30	24	29	29	28.5	30.5	23	25	27.5	26	29.5	34	26.5	26	30.5	33	31.5	27	25.5	32	28	24	34	28.5	30	28	30	29	31	21.5	27	33	26.5	28	28.5	25	24.5	31.5	32.5	28.5	27.5	31.5	28.5	28.5	34	26.5	29	29.5	30.5	26.5	34.5	30	33	30	29.5	36	30	30	27	24.5	29	34	33	28.5	25	27	25.5	27	29	31	29	25	25.5	30	25	32	25	23	31.5	30	28	30	30
arCOG04186	34.5	28.5	35	33	29	27.5	0	35	29.5	27	27.5	31.5	29	25.5	33	29.5	24	29.5	29.5	28.5	31	23	25	28	26	30	34	27	26.5	31	33	31.5	27	25.5	31.5	28.5	24	34	28.5	30.5	28	30.5	29.5	31	22	27	33	26.5	28	29	25.5	24.5	31.5	33	29	27.5	31.5	28.5	28	33.5	27	29.5	28.5	30.5	27	34	30	33	30	29.5	36	29.5	30.5	27	24.5	29.5	34.5	33.5	28.5	25.5	27.5	25.5	26.5	29.5	30.5	29.5	25	25.5	30.5	25.5	32	24.5	23.5	31.5	30	28	29.5	31
arCOG00406	41	35	40	39.5	35	33.5	35	0	36.5	34	35	38	35	31.5	39.5	35	30.5	35.5	35	35	37	29.5	31.5	34	33	36	40.5	33.5	33	37	39.5	38	33.5	32	38	34.5	30.5	41.5	35	36.5	35.5	36.5	36	38	28.5	33.5	39.5	33	35	35	31.5	31	38	38.5	35	34	38.5	35	35	39	32	35.5	34.5	37.5	33	40.5	36.5	39.5	36.5	35.5	42	37	36.5	33.5	31	35.5	40	40	35	31.5	33.5	32	33	35.5	36	35.5	32	32	36.5	31.5	38.5	30.5	30.5	39.5	35.5	34.5	35.5	36.5
arCOG00078	37	31	36.5	35	31	29.5	29.5	36.5	0	29.5	30.5	34	31	28	35.5	32	26.5	31.5	31.5	31	33	25.5	27.5	30	28.5	32	36.5	29	28.5	33	35.5	34	29	28	34	30.5	26.5	36.5	31	32	31	32.5	31.5	33.5	24	29.5	35.5	29	30	31	27.5	27	33.5	35	31	29.5	34	31	30.5	36	29	31.5	30.5	33	29	36	32.5	35.5	32.5	32	38.5	33	32.5	29.5	27	31.5	36.5	35.5	31	27.5	29.5	28	29	31.5	33	31.5	27.5	28	32	27.5	34.5	27	25.5	34	32	30.5	32	32.5
arCOG01722	34.5	28.5	34	33	28.5	27	27	34	29.5	0	28	31.5	28.5	25.5	33	29.5	24	29	29	28.5	30.5	23	25	27.5	26	29	34	26.5	26	30.5	33	31.5	27	25.5	31.5	28	24	34	28.5	29.5	28	30	29	31	21.5	27	33	26.5	28	28.5	25	24.5	31	32.5	28.5	27	31.5	28.5	28	33.5	26.5	29	28.5	30.5	27	34	30	33	30	29.5	36	30	30	27	24.5	29	34	33	28.5	25	27	25.5	26.5	29	30.5	29.5	25	25.5	29.5	25	32	24.5	23	31.5	30	28	29.5	30.5
