Clique0	arCOG00470	arCOG01228	arCOG04176
Clique1	arCOG04288	arCOG04064
Clique2	arCOG04070	arCOG04288
Clique3	arCOG04169	arCOG01563
Clique4	arCOG04302	arCOG04067
Clique5	arCOG01559	arCOG04071
Clique6	arCOG00470	arCOG01923
Clique7	arCOG01219	arCOG04098
Clique8	arCOG00675	arCOG04107
Clique9	arCOG00470	arCOG00358
Clique10	arCOG01559	arCOG01180
Clique11	arCOG01228	arCOG04186
Clique12	arCOG01016	arCOG01228
Clique13	arCOG01183	arCOG01228
Clique14	arCOG00470	arCOG04249
Clique15	arCOG04473
Clique16	arCOG01038
Clique17	arCOG00081
Clique18	arCOG01722
Clique19	arCOG04129
Clique20	arCOG04077
Clique21	arCOG00412
Clique22	arCOG01920
Clique23	arCOG04072
Clique24	arCOG04161
Clique25	arCOG04372
Clique26	arCOG04239
Clique27	arCOG04277
Clique28	arCOG01122
Clique29	arCOG00780
Clique30	arCOG01001
Clique31	arCOG00487
Clique32	arCOG01719
Clique33	arCOG04228
Clique34	arCOG01561
Clique35	arCOG01560
Clique36	arCOG04209
Clique37	arCOG04184
Clique38	arCOG01751
Clique39	arCOG04130
Clique40	arCOG04223
Clique41	arCOG00406
Clique42	arCOG00035
Clique43	arCOG00402
Clique44	arCOG04112
Clique45	arCOG01950
Clique46	arCOG00078
Clique47	arCOG04179
Clique48	arCOG00410
Clique49	arCOG01358
Clique50	arCOG01015
Clique51	arCOG01988
Clique52	arCOG04090
Clique53	arCOG04091
Clique54	arCOG04092
Clique55	arCOG04093
Clique56	arCOG04094
Clique57	arCOG01741
Clique58	arCOG04097
Clique59	arCOG04099
Clique60	arCOG04108
Clique61	arCOG04256
Clique62	arCOG04254
Clique63	arCOG04255
Clique64	arCOG04187
Clique65	arCOG04258
Clique66	arCOG04185
Clique67	arCOG04182
Clique68	arCOG00869
Clique69	arCOG00868
Clique70	arCOG04106
Clique71	arCOG00029
Clique72	arCOG00865
Clique73	arCOG00781
Clique74	arCOG04281
Clique75	arCOG04289
Clique76	arCOG04087
Clique77	arCOG04086
Clique78	arCOG00980
Clique79	arCOG04111
Clique80	arCOG04208
Clique81	arCOG04113
Clique82	arCOG00985
Clique83	arCOG04150
Clique84	arCOG04154
Clique85	arCOG04089
Clique86	arCOG04240
Clique87	arCOG04243
Clique88	arCOG04245
Clique89	arCOG04244
