Clique0	arCOG01559	arCOG04070	arCOG04288
Clique1	arCOG04169	arCOG04187	arCOG01563
Clique2	arCOG01559	arCOG04071	arCOG01228
Clique3	arCOG00470	arCOG01228	arCOG04176
Clique4	arCOG04245	arCOG01228	arCOG04087
Clique5	arCOG04288	arCOG04064
Clique6	arCOG01920	arCOG01122
Clique7	arCOG04071	arCOG01560
Clique8	arCOG04130	arCOG04169
Clique9	arCOG01920	arCOG04176
Clique10	arCOG04302	arCOG04067
Clique11	arCOG00412	arCOG00410
Clique12	arCOG00470	arCOG01923
Clique13	arCOG01559	arCOG04090
Clique14	arCOG04071	arCOG04091
Clique15	arCOG00470	arCOG04092
Clique16	arCOG01741	arCOG01719
Clique17	arCOG04097	arCOG01001
Clique18	arCOG01219	arCOG04098
Clique19	arCOG04254	arCOG00078
Clique20	arCOG04187	arCOG01923
Clique21	arCOG01920	arCOG04187
Clique22	arCOG04071	arCOG04187
Clique23	arCOG04258	arCOG04187
Clique24	arCOG04169	arCOG04107
Clique25	arCOG00675	arCOG04107
Clique26	arCOG04281	arCOG04064
Clique27	arCOG04281	arCOG04187
Clique28	arCOG04281	arCOG04130
Clique29	arCOG04281	arCOG04176
Clique30	arCOG00470	arCOG00358
Clique31	arCOG01180	arCOG01923
Clique32	arCOG01741	arCOG01180
Clique33	arCOG01559	arCOG01180
Clique34	arCOG01183	arCOG04258
Clique35	arCOG04169	arCOG04087
Clique36	arCOG04239	arCOG04087
Clique37	arCOG00985	arCOG00780
Clique38	arCOG04281	arCOG04150
Clique39	arCOG01228	arCOG01122
Clique40	arCOG01228	arCOG01358
Clique41	arCOG01016	arCOG01228
Clique42	arCOG04097	arCOG01228
Clique43	arCOG01183	arCOG01228
Clique44	arCOG01228	arCOG04186
Clique45	arCOG04254	arCOG01228
Clique46	arCOG01228	arCOG01563
Clique47	arCOG04179	arCOG01228
Clique48	arCOG04245	arCOG00078
Clique49	arCOG00470	arCOG04249
Clique50	arCOG04473
Clique51	arCOG01038
Clique52	arCOG00081
Clique53	arCOG01722
Clique54	arCOG04129
Clique55	arCOG04077
Clique56	arCOG04072
Clique57	arCOG04161
Clique58	arCOG04372
Clique59	arCOG04277
Clique60	arCOG00487
Clique61	arCOG04228
Clique62	arCOG01561
Clique63	arCOG04209
Clique64	arCOG04184
Clique65	arCOG01751
Clique66	arCOG04223
Clique67	arCOG00406
Clique68	arCOG00035
Clique69	arCOG00402
Clique70	arCOG04112
Clique71	arCOG01950
Clique72	arCOG01015
Clique73	arCOG01988
Clique74	arCOG04093
Clique75	arCOG04094
Clique76	arCOG04099
Clique77	arCOG04108
Clique78	arCOG04256
Clique79	arCOG04255
Clique80	arCOG04185
Clique81	arCOG04182
Clique82	arCOG00869
Clique83	arCOG00868
Clique84	arCOG04106
Clique85	arCOG00029
Clique86	arCOG00865
Clique87	arCOG00781
Clique88	arCOG04289
Clique89	arCOG04086
Clique90	arCOG00980
Clique91	arCOG04111
Clique92	arCOG04208
Clique93	arCOG04113
Clique94	arCOG04154
Clique95	arCOG04089
Clique96	arCOG04240
Clique97	arCOG04243
Clique98	arCOG04244
